,ADC,TEMP
183,2155,57.37011593
184,2163,57.4903392
185,2162,57.47531129
186,2174,57.6556462
187,2178,57.71575784
188,2178,57.71575784
189,2182,57.77586947
190,2181,57.76084156
191,2195,57.97123229
192,2194,57.95620438
193,2197,58.00128811
194,2182,57.77586947
195,2190,57.89609274
196,2203,58.09145556
197,2204,58.10648347
198,2199,58.03134392
199,2212,58.22670674
200,2208,58.16659511
201,2199,58.03134392
202,2262,58.97810219
203,2216,58.28681838
204,2221,58.36195792
205,2224,58.40704165
206,2234,58.55732074
207,2231,58.51223701
208,2233,58.54229283
209,2242,58.67754401
210,2235,58.57234865
211,2248,58.76771146
212,2247,58.75268356
213,2259,58.93301846
214,2259,58.93301846
215,2256,58.88793474
216,2256,58.88793474
217,53,25.78145127
218,2269,59.08329755
219,650,34.75311292
220,2256,58.88793474
221,2263,58.9931301
222,2259,58.93301846
223,2267,59.05324173
224,2330,60
225,2276,59.18849292
226,2266,59.03821383
227,2269,59.08329755
228,2285,59.3237441
229,2265,59.02318592
230,2267,59.05324173
231,2268,59.06826964
232,2263,58.9931301
233,2268,59.06826964
234,2263,58.9931301
235,2256,58.88793474
236,2277,59.20352082
237,2277,59.20352082
238,2268,59.06826964
239,2265,59.02318592
240,2274,59.1584371
241,2267,59.05324173
242,2270,59.09832546
243,2262,58.97810219
244,2270,59.09832546
245,2275,59.17346501
246,2277,59.20352082
247,2262,58.97810219
248,2274,59.1584371
249,2248,58.76771146
250,2268,59.06826964
251,261,28.90725633
252,2271,59.11335337
253,2274,59.1584371
254,2272,59.12838128
255,2266,59.03821383
256,2272,59.12838128
257,2270,59.09832546
258,2264,59.00815801
259,2279,59.23357664
260,2265,59.02318592
261,2278,59.21854873
262,2268,59.06826964
263,2274,59.1584371
264,2277,59.20352082
265,2282,59.27866037
266,2267,59.05324173
267,2269,59.08329755
268,2268,59.06826964
269,2264,59.00815801
270,2268,59.06826964
271,2277,59.20352082
272,2268,59.06826964
273,2270,59.09832546
274,2276,59.18849292
275,2274,59.1584371
276,2269,59.08329755
277,2258,58.91799055
278,2272,59.12838128
279,2280,59.24860455
280,2270,59.09832546
281,2266,59.03821383
282,2274,59.1584371
283,269,29.0274796
284,2269,59.08329755
285,2274,59.1584371
286,2276,59.18849292
287,2269,59.08329755
288,2280,59.24860455
289,2274,59.1584371
290,2271,59.11335337
291,2272,59.12838128
292,2274,59.1584371
293,2278,59.21854873
294,272,29.07256333
295,2274,59.1584371
296,2277,59.20352082
297,2277,59.20352082
298,2277,59.20352082
299,2272,59.12838128
300,2272,59.12838128
301,2270,59.09832546
302,2282,59.27866037
303,2276,59.18849292
304,2281,59.26363246
305,2277,59.20352082
306,2268,59.06826964
307,2283,59.29368828
308,2278,59.21854873
309,2279,59.23357664
310,2269,59.08329755
311,2270,59.09832546
312,2274,59.1584371
313,2278,59.21854873
314,2273,59.14340919
315,2277,59.20352082
316,2276,59.18849292
317,2282,59.27866037
318,2275,59.17346501
319,2266,59.03821383
320,2280,59.24860455
321,2271,59.11335337
322,2280,59.24860455
323,2277,59.20352082
324,2272,59.12838128
325,2287,59.35379991
326,2267,59.05324173
327,2282,59.27866037
328,2278,59.21854873
329,2273,59.14340919
330,2284,59.30871619
331,2285,59.3237441
332,2278,59.21854873
333,2284,59.30871619
334,2276,59.18849292
335,2275,59.17346501
336,2280,59.24860455
337,2282,59.27866037
338,2280,59.24860455
339,2277,59.20352082
340,2280,59.24860455
341,2273,59.14340919
342,2275,59.17346501
343,2274,59.1584371
344,2298,59.51910691
345,2302,59.57921855
346,2285,59.3237441
347,2272,59.12838128
348,2282,59.27866037
349,2288,59.36882782
350,2285,59.3237441
351,2274,59.1584371
352,2279,59.23357664
353,2274,59.1584371
354,2280,59.24860455
355,2274,59.1584371
356,2282,59.27866037
357,2284,59.30871619
358,2279,59.23357664
359,2287,59.35379991
360,2289,59.38385573
361,2254,58.85787892
362,2269,59.08329755
363,2278,59.21854873
364,2276,59.18849292
365,2283,59.29368828
366,2281,59.26363246
367,2284,59.30871619
368,2268,59.06826964
369,2283,59.29368828
370,2277,59.20352082
371,2274,59.1584371
372,2290,59.39888364
373,2290,59.39888364
374,2278,59.21854873
375,2293,59.44396737
376,2280,59.24860455
377,2282,59.27866037
378,2278,59.21854873
379,2283,59.29368828
380,2279,59.23357664
381,2285,59.3237441
382,2271,59.11335337
383,2291,59.41391155
384,2283,59.29368828
385,2275,59.17346501
386,2275,59.17346501
387,2282,59.27866037
388,2279,59.23357664
389,650,34.75311292
390,2278,59.21854873
391,2285,59.3237441
392,2282,59.27866037
393,2285,59.3237441
394,2280,59.24860455
395,2271,59.11335337
396,2282,59.27866037
397,2285,59.3237441
398,2284,59.30871619
399,2286,59.33877201
400,2284,59.30871619
401,2288,59.36882782
402,2289,59.38385573
403,2286,59.33877201
404,2294,59.45899528
405,2285,59.3237441
406,2282,59.27866037
407,2287,59.35379991
408,2280,59.24860455
409,2280,59.24860455
410,286,29.28295406
411,2279,59.23357664
412,2292,59.42893946
413,2288,59.36882782
414,2278,59.21854873
415,2278,59.21854873
416,2281,59.26363246
417,2286,59.33877201
418,2287,59.35379991
419,2293,59.44396737
420,2286,59.33877201
421,2292,59.42893946
422,2279,59.23357664
423,2284,59.30871619
424,2291,59.41391155
425,2288,59.36882782
426,2287,59.35379991
427,2292,59.42893946
428,2296,59.48905109
429,2295,59.47402319
430,2294,59.45899528
431,650,34.75311292
432,2286,59.33877201
433,2278,59.21854873
434,2284,59.30871619
435,2286,59.33877201
436,2291,59.41391155
437,2296,59.48905109
438,2288,59.36882782
439,2292,59.42893946
440,2293,59.44396737
441,2274,59.1584371
442,2290,59.39888364
443,2277,59.20352082
444,2302,59.57921855
445,2281,59.26363246
446,2282,59.27866037
447,2284,59.30871619
448,2291,59.41391155
449,2297,59.504079
450,2287,59.35379991
451,365,30.47015887
452,2283,59.29368828
453,2278,59.21854873
454,2293,59.44396737
455,2286,59.33877201
456,2295,59.47402319
457,2285,59.3237441
458,2280,59.24860455
459,2280,59.24860455
460,2285,59.3237441
461,2283,59.29368828
462,2285,59.3237441
463,2295,59.47402319
464,2292,59.42893946
465,2285,59.3237441
466,2300,59.54916273
467,2281,59.26363246
468,2302,59.57921855
469,2280,59.24860455
470,2288,59.36882782
471,2287,59.35379991
472,2287,59.35379991
473,2293,59.44396737
474,2290,59.39888364
475,2290,59.39888364
476,2282,59.27866037
477,2295,59.47402319
478,2291,59.41391155
479,2287,59.35379991
480,2307,59.65435809
481,2291,59.41391155
482,2294,59.45899528
483,2289,59.38385573
484,2296,59.48905109
485,2296,59.48905109
486,2294,59.45899528
487,2297,59.504079
488,2284,59.30871619
489,2288,59.36882782
490,2292,59.42893946
491,2285,59.3237441
492,2262,58.97810219
493,2293,59.44396737
494,2287,59.35379991
495,2306,59.63933018
496,2288,59.36882782
497,2290,59.39888364
498,2316,59.78960927
499,2283,59.29368828
500,2310,59.69944182
501,2286,59.33877201
502,2284,59.30871619
503,2289,59.38385573
504,2296,59.48905109
505,289,29.32803778
506,2295,59.47402319
,,42.83812795
,,43.34907686
,,43.39416058
,,43.2589094
,,43.36410477
,,43.0936024
,,43.27393731
,,25
,,43.04851868
,,43.60455131
,,43.64963504
,,43.78488622
,,43.9201374
,,43.84499785
,,43.82996994
,,44.11550021
,,43.99527694
,,44.44611421
,,44.49119794
,,44.53628167
,,44.64147703
,,44.7617003
,,45.0923143
,,45.18248175
,,45.33276084
,,45.36281666
,,45.48303993
,,30.59038214
,,45.61829111
,,45.88879347
,,45.79862602
,,46.32460283
,,46.35465865
,,46.36968656
,,46.5951052
,,46.58007729
,,46.91069128
,,46.97080292
